Header,GOid,GOterm,Score
NP_061133,GO:0005743,C:mitochondrial inner membrane,0.86
NP_063940,GO:0005743,C:mitochondrial inner membrane,0.48
NP_064518,GO:0005743,C:mitochondrial inner membrane,0.89
NP_065093,GO:0005741,C:mitochondrial outer membrane,0.19
NP_065199,GO:0005743,C:mitochondrial inner membrane,0.16
NP_066923,GO:0005743,C:mitochondrial inner membrane,0.47
NP_071415,GO:0005743,C:mitochondrial inner membrane,0.48
NP_071761,GO:0005759,C:mitochondrial matrix,0.7
NP_076422,GO:0005741,C:mitochondrial outer membrane,0.5
NP_079509,GO:0005759,C:mitochondrial matrix,0.21
NP_085126,GO:0005741,C:mitochondrial outer membrane,0.26
NP_112486,GO:0005759,C:mitochondrial matrix,0.12
NP_112487,GO:0005758,C:mitochondrial intermembrane space,0.45
NP_112496,GO:0005743,C:mitochondrial inner membrane,0.42
NP_113669,GO:0005743,C:mitochondrial inner membrane,0.9
NP_114144,GO:0005743,C:mitochondrial inner membrane,0.26
NP_115649,GO:0005743,C:mitochondrial inner membrane,0.42
NP_116072,GO:0005743,C:mitochondrial inner membrane,0.93
NP_219480,GO:0005743,C:mitochondrial inner membrane,0.94
NP_387506,GO:0005743,C:mitochondrial inner membrane,0.42
NP_536341,GO:0005759,C:mitochondrial matrix,0.12
NP_542379,GO:0005741,C:mitochondrial outer membrane,0.42
NP_570846,GO:0005743,C:mitochondrial inner membrane,0.14
NP_570849,GO:0005759,C:mitochondrial matrix,0.13
NP_612422,GO:0005743,C:mitochondrial inner membrane,0.45
NP_620119,GO:0005741,C:mitochondrial outer membrane,0.64
NP_620308,GO:0005758,C:mitochondrial intermembrane space,0.22
NP_665734,GO:0005741,C:mitochondrial outer membrane,0.53
NP_665735,GO:0005741,C:mitochondrial outer membrane,0.53
NP_689755,GO:0005759,C:mitochondrial matrix,0.62
NP_783313,GO:0005743,C:mitochondrial inner membrane,0.55
NP_789842,GO:0005759,C:mitochondrial matrix,0.28
NP_808816,GO:0005741,C:mitochondrial outer membrane,0.24
NP_848026,GO:0005743,C:mitochondrial inner membrane,0.15
NP_851824,GO:0005743,C:mitochondrial inner membrane,0.19
NP_852119,GO:0005743,C:mitochondrial inner membrane,0.27
NP_852130,GO:0005743,C:mitochondrial inner membrane,0.27
NP_872307,GO:0005759,C:mitochondrial matrix,0.11
NP_919267,GO:0005743,C:mitochondrial inner membrane,0.79
NP_942133,GO:0005741,C:mitochondrial outer membrane,0.13
NP_954646,GO:0005759,C:mitochondrial matrix,0.33
NP_995318,GO:0005759,C:mitochondrial matrix,0.1
RP11_469A15.2,GO:0005759,C:mitochondrial matrix,0.87
YP_003024031,GO:0005743,C:mitochondrial inner membrane,0.91
YP_003024037,GO:0005743,C:mitochondrial inner membrane,0.95
NP_000134,GO:0005759,C:mitochondrial matrix,0.43
NP_000445,GO:0005758,C:mitochondrial intermembrane space,0.24
NP_000472,GO:0005759,C:mitochondrial matrix,0.53
NP_000624,GO:0005741,C:mitochondrial outer membrane,0.42
NP_000700,GO:0005759,C:mitochondrial matrix,0.14
NP_001002020,GO:0005759,C:mitochondrial matrix,0.17
NP_001002031,GO:0005743,C:mitochondrial inner membrane,0.91
NP_001018070,GO:0005741,C:mitochondrial outer membrane,0.3
NP_001028738,GO:0005741,C:mitochondrial outer membrane,0.37
NP_001029031,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001033056,GO:0005759,C:mitochondrial matrix,0.46
NP_001034936,GO:0005743,C:mitochondrial inner membrane,0.29
NP_001035958,GO:0005741,C:mitochondrial outer membrane,0.47
NP_001073310,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001119593,GO:0005743,C:mitochondrial inner membrane,0.89
NP_001120714,GO:0005758,C:mitochondrial intermembrane space,0.19
NP_001120800,GO:0005759,C:mitochondrial matrix,0.43
NP_001128142,GO:0005743,C:mitochondrial inner membrane,0.6
NP_001129673,GO:0005759,C:mitochondrial matrix,0.56
NP_001136017,GO:0005743,C:mitochondrial inner membrane,0.36
NP_001136116,GO:0005741,C:mitochondrial outer membrane,0.27
NP_001138606,GO:0005741,C:mitochondrial outer membrane,0.38
NP_001138836,GO:0005743,C:mitochondrial inner membrane,0.41
NP_001139311,GO:0005743,C:mitochondrial inner membrane,0.41
NP_001154483,GO:0005741,C:mitochondrial outer membrane,0.34
NP_001154848,GO:0005743,C:mitochondrial inner membrane,0.18
NP_001155058,GO:0005759,C:mitochondrial matrix,0.2
NP_001157284,GO:0005743,C:mitochondrial inner membrane,0.38
NP_001158889,GO:0005743,C:mitochondrial inner membrane,0.83
NP_001158890,GO:0005743,C:mitochondrial inner membrane,0.9
NP_001161067,GO:0005741,C:mitochondrial outer membrane,0.45
NP_001165132,GO:0005741,C:mitochondrial outer membrane,0.22
NP_001171475,GO:0005759,C:mitochondrial matrix,0.3
NP_001171513,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001171634,GO:0005743,C:mitochondrial inner membrane,0.09
NP_001171752,GO:0005741,C:mitochondrial outer membrane,0.7
NP_001172023,GO:0005741,C:mitochondrial outer membrane,0.16
NP_001180390,GO:0005759,C:mitochondrial matrix,0.27
NP_001188306,GO:0005743,C:mitochondrial inner membrane,0.09
NP_001191088,GO:0005741,C:mitochondrial outer membrane,0.53
NP_001191818,GO:0005743,C:mitochondrial inner membrane,0.5
NP_001241681,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001243239,GO:0005759,C:mitochondrial matrix,0.21
NP_001254792,GO:0005758,C:mitochondrial intermembrane space,0.4
NP_001258625,GO:0005743,C:mitochondrial inner membrane,0.85
NP_001263408,GO:0005759,C:mitochondrial matrix,0.52
NP_001265574,GO:0005758,C:mitochondrial intermembrane space,0.25
NP_001267716,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001267726,GO:0005741,C:mitochondrial outer membrane,0.26
NP_001269220,GO:0005743,C:mitochondrial inner membrane,0.91
NP_001269843,GO:0005759,C:mitochondrial matrix,0.15
NP_001269943,GO:0005743,C:mitochondrial inner membrane,0.2
NP_001271332,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001273046,GO:0005743,C:mitochondrial inner membrane,0.84
NP_001273399,GO:0005759,C:mitochondrial matrix,0.43
NP_001273677,GO:0005743,C:mitochondrial inner membrane,0.61
NP_001273716,GO:0005758,C:mitochondrial intermembrane space,0.12
NP_001274316,GO:0005743,C:mitochondrial inner membrane,0.96
NP_001275584,GO:0005743,C:mitochondrial inner membrane,0.39
NP_001275889,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001275898,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001294,GO:0005743,C:mitochondrial inner membrane,0.75
NP_001536,GO:0005759,C:mitochondrial matrix,0.35
NP_001599,GO:0005743,C:mitochondrial inner membrane,0.56
NP_001600,GO:0005759,C:mitochondrial matrix,0.95
NP_001688,GO:0005758,C:mitochondrial intermembrane space,0.11
NP_001867,GO:0005741,C:mitochondrial outer membrane,0.51
NP_001909,GO:0005759,C:mitochondrial matrix,0.93
NP_001939,GO:0005741,C:mitochondrial outer membrane,0.38
NP_002003,GO:0005743,C:mitochondrial inner membrane,0.18
NP_002479,GO:0005743,C:mitochondrial inner membrane,0.19
NP_002481,GO:0005758,C:mitochondrial intermembrane space,0.15
NP_004100,GO:0005759,C:mitochondrial matrix,0.67
NP_004251,GO:0005759,C:mitochondrial matrix,0.51
NP_004364,GO:0005743,C:mitochondrial inner membrane,0.86
NP_004605,GO:0005743,C:mitochondrial inner membrane,0.39
NP_005317,GO:0005759,C:mitochondrial matrix,0.63
NP_005591,GO:0005743,C:mitochondrial inner membrane,0.25
NP_006027,GO:0005743,C:mitochondrial inner membrane,0.25
NP_006419,GO:0005743,C:mitochondrial inner membrane,0.22
NP_006443,GO:0005759,C:mitochondrial matrix,0.1
NP_006612,GO:0005759,C:mitochondrial matrix,0.18
NP_006703,GO:0005759,C:mitochondrial matrix,0.28
NP_006787,GO:0005743,C:mitochondrial inner membrane,0.92
NP_008911,GO:0005759,C:mitochondrial matrix,0.31
NP_009014,GO:0005743,C:mitochondrial inner membrane,0.21
NP_009169,GO:0005743,C:mitochondrial inner membrane,0.83
NP_036354,GO:0005759,C:mitochondrial matrix,0.14
NP_036373,GO:0005759,C:mitochondrial matrix,0.65
NP_037370,GO:0005743,C:mitochondrial inner membrane,0.21
NP_054642,GO:0005758,C:mitochondrial intermembrane space,0.24
NP_054786,GO:0005759,C:mitochondrial matrix,0.14
NP_054880,GO:0005759,C:mitochondrial matrix,0.47
NP_055588,GO:0005743,C:mitochondrial inner membrane,0.22
NP_056362,GO:0005741,C:mitochondrial outer membrane,0.09
NP_057055,GO:0005759,C:mitochondrial matrix,0.58
NP_057100,GO:0005743,C:mitochondrial inner membrane,0.88
NP_057588,GO:0005759,C:mitochondrial matrix,0.42
NP_057611,GO:0005743,C:mitochondrial inner membrane,0.1
NP_057696,GO:0005743,C:mitochondrial inner membrane,0.93
NP_060282,GO:0005758,C:mitochondrial intermembrane space,0.32
NP_060299,GO:0005743,C:mitochondrial inner membrane,0.18
NP_060310,GO:0005759,C:mitochondrial matrix,0.42
NP_060500,GO:0005741,C:mitochondrial outer membrane,0.64
NP_060611,GO:0005759,C:mitochondrial matrix,0.24
NP_060616,GO:0005743,C:mitochondrial inner membrane,0.29
NP_060762,GO:0005759,C:mitochondrial matrix,0.16
NP_060864,GO:0005743,C:mitochondrial inner membrane,0.26
NP_064708,GO:0005743,C:mitochondrial inner membrane,0.42
NP_065797,GO:0005741,C:mitochondrial outer membrane,0.46
NP_066270,GO:0005743,C:mitochondrial inner membrane,0.12
NP_068596,GO:0005759,C:mitochondrial matrix,0.15
NP_071413,GO:0005741,C:mitochondrial outer membrane,0.16
NP_073583,GO:0005741,C:mitochondrial outer membrane,0.47
NP_073714,GO:0005743,C:mitochondrial inner membrane,0.84
NP_078816,GO:0005759,C:mitochondrial matrix,0.56
NP_079034,GO:0005759,C:mitochondrial matrix,0.17
NP_079235,GO:0005743,C:mitochondrial inner membrane,0.9
NP_079348,GO:0005743,C:mitochondrial inner membrane,0.85
NP_079423,GO:0005743,C:mitochondrial inner membrane,0.42
NP_079474,GO:0005759,C:mitochondrial matrix,0.42
NP_110407,GO:0005743,C:mitochondrial inner membrane,0.75
NP_114064,GO:0005759,C:mitochondrial matrix,0.12
NP_116009,GO:0005759,C:mitochondrial matrix,0.76
NP_116052,GO:0005743,C:mitochondrial inner membrane,0.12
NP_116119,GO:0005741,C:mitochondrial outer membrane,0.58
NP_116186,GO:0005741,C:mitochondrial outer membrane,0.15
NP_116199,GO:0005743,C:mitochondrial inner membrane,0.33
NP_116290,GO:0005743,C:mitochondrial inner membrane,0.23
NP_127463,GO:0005759,C:mitochondrial matrix,0.51
NP_203520,GO:0005741,C:mitochondrial outer membrane,0.27
NP_284941,GO:0005741,C:mitochondrial outer membrane,0.61
NP_443085,GO:0005743,C:mitochondrial inner membrane,0.41
NP_444263,GO:0005758,C:mitochondrial intermembrane space,0.17
NP_444283,GO:0005743,C:mitochondrial inner membrane,0.4
NP_543022,GO:0005758,C:mitochondrial intermembrane space,0.5
NP_597700,GO:0005759,C:mitochondrial matrix,0.15
NP_612421,GO:0005741,C:mitochondrial outer membrane,0.3
NP_612461,GO:0005741,C:mitochondrial outer membrane,0.27
NP_620149,GO:0005743,C:mitochondrial inner membrane,0.35
NP_647473,GO:0005743,C:mitochondrial inner membrane,0.19
NP_789775,GO:0005759,C:mitochondrial matrix,0.34
NP_852129,GO:0005743,C:mitochondrial inner membrane,0.27
NP_863654,GO:0005759,C:mitochondrial matrix,0.29
NP_872286,GO:0005741,C:mitochondrial outer membrane,0.38
NP_872603,GO:0005741,C:mitochondrial outer membrane,0.19
NP_877393,GO:0005741,C:mitochondrial outer membrane,0.51
NP_932066,GO:0005759,C:mitochondrial matrix,0.16
NP_932346,GO:0005759,C:mitochondrial matrix,0.22
NP_937798,GO:0005743,C:mitochondrial inner membrane,0.13
NP_950245,GO:0005759,C:mitochondrial matrix,0.64
NP_955452,GO:0005759,C:mitochondrial matrix,0.1
NP_973729,GO:0005743,C:mitochondrial inner membrane,0.77
NP_000024,GO:0005743,C:mitochondrial inner membrane,0.89
NP_000150,GO:0005759,C:mitochondrial matrix,0.86
NP_000275,GO:0005759,C:mitochondrial matrix,0.9
NP_000300,GO:0005741,C:mitochondrial outer membrane,0.31
NP_000340,GO:0005743,C:mitochondrial inner membrane,0.2
NP_001003684,GO:0005743,C:mitochondrial inner membrane,0.82
NP_001003805,GO:0005759,C:mitochondrial matrix,0.25
NP_001005783,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001009185,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001012533,GO:0005759,C:mitochondrial matrix,0.19
NP_001018088,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001026871,GO:0005743,C:mitochondrial inner membrane,0.15
NP_001034267,GO:0005743,C:mitochondrial inner membrane,0.22
NP_001034673,GO:0005741,C:mitochondrial outer membrane,0.41
NP_001035808,GO:0005743,C:mitochondrial inner membrane,0.52
NP_001036011,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001073332,GO:0005758,C:mitochondrial intermembrane space,0.39
NP_001073593,GO:0005741,C:mitochondrial outer membrane,0.27
NP_001075029,GO:0005759,C:mitochondrial matrix,0.23
NP_001093243,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001099015,GO:0005759,C:mitochondrial matrix,0.16
NP_001103408,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001106678,GO:0005758,C:mitochondrial intermembrane space,0.32
NP_001121895,GO:0005743,C:mitochondrial inner membrane,0.95
NP_001123514,GO:0005741,C:mitochondrial outer membrane,0.31
NP_001127957,GO:0005741,C:mitochondrial outer membrane,0.5
NP_001135828,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001135936,GO:0005743,C:mitochondrial inner membrane,0.2
NP_001136075,GO:0005743,C:mitochondrial inner membrane,0.22
NP_001137469,GO:0005759,C:mitochondrial matrix,0.09
NP_001153566,GO:0005741,C:mitochondrial outer membrane,0.65
NP_001154482,GO:0005741,C:mitochondrial outer membrane,0.35
NP_001157950,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001157951,GO:0005759,C:mitochondrial matrix,0.15
NP_001158503,GO:0005759,C:mitochondrial matrix,0.2
NP_001159733,GO:0005759,C:mitochondrial matrix,0.79
NP_001159830,GO:0005759,C:mitochondrial matrix,0.16
NP_001163,GO:0005759,C:mitochondrial matrix,0.25
NP_001165084,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001166116,GO:0005743,C:mitochondrial inner membrane,0.37
NP_001166925,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001166926,GO:0005743,C:mitochondrial inner membrane,0.29
NP_001171500,GO:0005759,C:mitochondrial matrix,0.33
NP_001171919,GO:0005743,C:mitochondrial inner membrane,0.77
NP_001177162,GO:0005758,C:mitochondrial intermembrane space,0.43
NP_001180196,GO:0005759,C:mitochondrial matrix,0.68
NP_001180291,GO:0005741,C:mitochondrial outer membrane,0.67
NP_001182033,GO:0005759,C:mitochondrial matrix,0.12
NP_001186128,GO:0005758,C:mitochondrial intermembrane space,0.24
NP_001186589,GO:0005758,C:mitochondrial intermembrane space,0.12
NP_001186886,GO:0005759,C:mitochondrial matrix,0.29
NP_001188,GO:0005741,C:mitochondrial outer membrane,0.44
NP_001220,GO:0005759,C:mitochondrial matrix,0.17
NP_001229812,GO:0005741,C:mitochondrial outer membrane,0.1
NP_001230208,GO:0005743,C:mitochondrial inner membrane,0.43
NP_001230618,GO:0005741,C:mitochondrial outer membrane,0.61
NP_001230674,GO:0005741,C:mitochondrial outer membrane,0.21
NP_001230709,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001231319,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001231501,GO:0005743,C:mitochondrial inner membrane,0.17
NP_001243329,GO:0005741,C:mitochondrial outer membrane,0.12
NP_001243475,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001243894,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001244062,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001244063,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001244944,GO:0005743,C:mitochondrial inner membrane,0.69
NP_001245321,GO:0005759,C:mitochondrial matrix,0.74
NP_001257657,GO:0005758,C:mitochondrial intermembrane space,0.17
NP_001258824,GO:0005743,C:mitochondrial inner membrane,0.53
NP_001263433,GO:0005743,C:mitochondrial inner membrane,0.87
NP_001266287,GO:0005741,C:mitochondrial outer membrane,0.18
NP_001269073,GO:0005741,C:mitochondrial outer membrane,0.48
NP_001269210,GO:0005743,C:mitochondrial inner membrane,0.11
NP_001269221,GO:0005743,C:mitochondrial inner membrane,0.91
NP_001269441,GO:0005743,C:mitochondrial inner membrane,0.15
NP_001269714,GO:0005759,C:mitochondrial matrix,0.18
NP_001273612,GO:0005741,C:mitochondrial outer membrane,0.19
NP_001273637,GO:0005743,C:mitochondrial inner membrane,0.58
NP_001273735,GO:0005743,C:mitochondrial inner membrane,0.98
NP_001273736,GO:0005743,C:mitochondrial inner membrane,0.98
NP_001273962,GO:0005743,C:mitochondrial inner membrane,0.51
NP_001276680,GO:0005759,C:mitochondrial matrix,0.14
NP_001295350,GO:0005743,C:mitochondrial inner membrane,0.85
NP_001680,GO:0005743,C:mitochondrial inner membrane,0.94
NP_001854,GO:0005758,C:mitochondrial intermembrane space,0.63
NP_002444,GO:0005759,C:mitochondrial matrix,0.89
NP_004580,GO:0005743,C:mitochondrial inner membrane,0.77
NP_004609,GO:0005759,C:mitochondrial matrix,0.59
NP_004880,GO:0005743,C:mitochondrial inner membrane,0.41
NP_004960,GO:0005743,C:mitochondrial inner membrane,0.18
NP_004997,GO:0005759,C:mitochondrial matrix,0.94
NP_005827,GO:0005759,C:mitochondrial matrix,0.1
NP_005975,GO:0005743,C:mitochondrial inner membrane,0.98
NP_006102,GO:0005741,C:mitochondrial outer membrane,0.19
NP_006105,GO:0005741,C:mitochondrial outer membrane,0.75
NP_006545,GO:0005741,C:mitochondrial outer membrane,0.58
NP_006558,GO:0005759,C:mitochondrial matrix,0.32
NP_036322,GO:0005759,C:mitochondrial matrix,0.12
NP_036591,GO:0005758,C:mitochondrial intermembrane space,0.55
NP_037518,GO:0005743,C:mitochondrial inner membrane,0.93
NP_054765,GO:0005759,C:mitochondrial matrix,0.38
NP_055157,GO:0005743,C:mitochondrial inner membrane,0.9
NP_055182,GO:0005743,C:mitochondrial inner membrane,0.35
NP_055470,GO:0005743,C:mitochondrial inner membrane,0.95
NP_055487,GO:0005743,C:mitochondrial inner membrane,0.11
NP_055580,GO:0005741,C:mitochondrial outer membrane,0.65
NP_056303,GO:0005759,C:mitochondrial matrix,0.81
NP_056375,GO:0005743,C:mitochondrial inner membrane,0.13
NP_056515,GO:0005759,C:mitochondrial matrix,0.11
NP_057097,GO:0005743,C:mitochondrial inner membrane,0.13
NP_057152,GO:0005741,C:mitochondrial outer membrane,0.94
NP_057170,GO:0005743,C:mitochondrial inner membrane,0.11
NP_057370,GO:0005759,C:mitochondrial matrix,0.26
NP_057706,GO:0005743,C:mitochondrial inner membrane,0.17
NP_058213,GO:0005759,C:mitochondrial matrix,0.31
NP_060116,GO:0005759,C:mitochondrial matrix,0.16
NP_060289,GO:0005759,C:mitochondrial matrix,0.16
NP_060297,GO:0005759,C:mitochondrial matrix,0.48
NP_060358,GO:0005743,C:mitochondrial inner membrane,0.45
NP_060367,GO:0005759,C:mitochondrial matrix,0.11
NP_060846,GO:0005743,C:mitochondrial inner membrane,0.22
NP_061924,GO:0005743,C:mitochondrial inner membrane,0.18
NP_061968,GO:0005743,C:mitochondrial inner membrane,0.92
NP_064573,GO:0005758,C:mitochondrial intermembrane space,0.56
NP_065129,GO:0005743,C:mitochondrial inner membrane,0.67
NP_065796,GO:0005759,C:mitochondrial matrix,0.42
NP_065969,GO:0005741,C:mitochondrial outer membrane,0.66
NP_068597,GO:0005743,C:mitochondrial inner membrane,0.89
NP_068605,GO:0005743,C:mitochondrial inner membrane,0.89
NP_073750,GO:0005759,C:mitochondrial matrix,0.29
NP_076996,GO:0005759,C:mitochondrial matrix,0.73
NP_079228,GO:0005759,C:mitochondrial matrix,0.45
NP_079491,GO:0005759,C:mitochondrial matrix,0.58
NP_085134,GO:0005743,C:mitochondrial inner membrane,0.91
NP_110425,GO:0005741,C:mitochondrial outer membrane,0.23
NP_112202,GO:0005759,C:mitochondrial matrix,0.48
NP_114068,GO:0005759,C:mitochondrial matrix,0.12
NP_115527,GO:0005759,C:mitochondrial matrix,0.2
NP_115890,GO:0005743,C:mitochondrial inner membrane,0.28
NP_115982,GO:0005759,C:mitochondrial matrix,0.36
NP_116198,GO:0005741,C:mitochondrial outer membrane,0.56
NP_443188,GO:0005743,C:mitochondrial inner membrane,0.67
NP_478061,GO:0005758,C:mitochondrial intermembrane space,0.13
NP_653168,GO:0005759,C:mitochondrial matrix,0.18
NP_660198,GO:0005743,C:mitochondrial inner membrane,0.23
NP_660325,GO:0005743,C:mitochondrial inner membrane,0.96
NP_671517,GO:0005741,C:mitochondrial outer membrane,0.12
NP_683710,GO:0005743,C:mitochondrial inner membrane,0.3
NP_689572,GO:0005741,C:mitochondrial outer membrane,0.35
NP_689896,GO:0005741,C:mitochondrial outer membrane,0.1
NP_714917,GO:0005743,C:mitochondrial inner membrane,0.57
NP_775738,GO:0005743,C:mitochondrial inner membrane,0.1
NP_789764,GO:0005743,C:mitochondrial inner membrane,0.12
NP_863655,GO:0005759,C:mitochondrial matrix,0.19
NP_863656,GO:0005759,C:mitochondrial matrix,0.19
NP_932164,GO:0005743,C:mitochondrial inner membrane,0.56
NP_942135,GO:0005759,C:mitochondrial matrix,0.07
NP_958800,GO:0005759,C:mitochondrial matrix,0.1
NP_997227,GO:0005759,C:mitochondrial matrix,0.56
YP_003024030,GO:0005743,C:mitochondrial inner membrane,0.6
NP_000135,GO:0005759,C:mitochondrial matrix,0.22
NP_000745,GO:0005743,C:mitochondrial inner membrane,0.55
NP_000772,GO:0005743,C:mitochondrial inner membrane,0.68
NP_001002258,GO:0005743,C:mitochondrial inner membrane,0.94
NP_001002755,GO:0005759,C:mitochondrial matrix,0.17
NP_001003701,GO:0005758,C:mitochondrial intermembrane space,0.15
NP_001005369,GO:0005759,C:mitochondrial matrix,0.89
NP_001006643,GO:0005743,C:mitochondrial inner membrane,0.92
NP_001007099,GO:0005759,C:mitochondrial matrix,0.26
NP_001009584,GO:0005741,C:mitochondrial outer membrane,0.47
NP_001013003,GO:0005758,C:mitochondrial intermembrane space,0.69
NP_001025011,GO:0005743,C:mitochondrial inner membrane,0.44
NP_001026976,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001028755,GO:0005743,C:mitochondrial inner membrane,0.23
NP_001035844,GO:0005743,C:mitochondrial inner membrane,0.22
NP_001070148,GO:0005743,C:mitochondrial inner membrane,0.24
NP_001073923,GO:0005743,C:mitochondrial inner membrane,0.53
NP_001075031,GO:0005759,C:mitochondrial matrix,0.26
NP_001091972,GO:0005758,C:mitochondrial intermembrane space,0.8
NP_001107000,GO:0005759,C:mitochondrial matrix,0.67
NP_001116146,GO:0005743,C:mitochondrial inner membrane,0.75
NP_001116849,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001120691,GO:0005743,C:mitochondrial inner membrane,0.39
NP_001121188,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001129143,GO:0005758,C:mitochondrial intermembrane space,0.29
NP_001137408,GO:0005743,C:mitochondrial inner membrane,0.33
NP_001138904,GO:0005743,C:mitochondrial inner membrane,0.8
NP_001139681,GO:0005741,C:mitochondrial outer membrane,0.17
NP_001152862,GO:0005759,C:mitochondrial matrix,0.29
NP_001155253,GO:0005759,C:mitochondrial matrix,0.26
NP_001158184,GO:0005759,C:mitochondrial matrix,0.5
NP_001158508,GO:0005759,C:mitochondrial matrix,0.24
NP_001159831,GO:0005759,C:mitochondrial matrix,0.16
NP_001164006,GO:0005759,C:mitochondrial matrix,0.24
NP_001164007,GO:0005758,C:mitochondrial intermembrane space,0.16
NP_001164015,GO:0005741,C:mitochondrial outer membrane,0.35
NP_001171724,GO:0005743,C:mitochondrial inner membrane,0.7
NP_001177989,GO:0005743,C:mitochondrial inner membrane,0.92
NP_001182751,GO:0005741,C:mitochondrial outer membrane,0.09
NP_001186785,GO:0005759,C:mitochondrial matrix,0.5
NP_001186827,GO:0005759,C:mitochondrial matrix,0.18
NP_001189398,GO:0005759,C:mitochondrial matrix,0.19
NP_001190984,GO:0005743,C:mitochondrial inner membrane,0.53
NP_001191011,GO:0005743,C:mitochondrial inner membrane,0.53
NP_001191087,GO:0005741,C:mitochondrial outer membrane,0.43
NP_001229769,GO:0005759,C:mitochondrial matrix,0.17
NP_001230180,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001230657,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001243056,GO:0005741,C:mitochondrial outer membrane,0.21
NP_001243411,GO:0005743,C:mitochondrial inner membrane,0.2
NP_001257655,GO:0005741,C:mitochondrial outer membrane,0.71
NP_001258978,GO:0005759,C:mitochondrial matrix,0.34
NP_001263432,GO:0005743,C:mitochondrial inner membrane,0.44
NP_001264983,GO:0005759,C:mitochondrial matrix,0.18
NP_001265097,GO:0005759,C:mitochondrial matrix,0.54
NP_001265520,GO:0005759,C:mitochondrial matrix,0.25
NP_001266286,GO:0005743,C:mitochondrial inner membrane,0.15
NP_001268425,GO:0005743,C:mitochondrial inner membrane,0.7
NP_001269946,GO:0005759,C:mitochondrial matrix,0.15
NP_001269948,GO:0005759,C:mitochondrial matrix,0.15
NP_001272972,GO:0005759,C:mitochondrial matrix,0.4
NP_001273047,GO:0005743,C:mitochondrial inner membrane,0.85
NP_001275514,GO:0005743,C:mitochondrial inner membrane,0.21
NP_001504,GO:0005741,C:mitochondrial outer membrane,0.4
NP_001616,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001627,GO:0005743,C:mitochondrial inner membrane,0.67
NP_001730,GO:0005759,C:mitochondrial matrix,0.21
NP_001852,GO:0005743,C:mitochondrial inner membrane,0.89
NP_002148,GO:0005759,C:mitochondrial matrix,0.55
NP_002721,GO:0005741,C:mitochondrial outer membrane,0.16
NP_003312,GO:0005759,C:mitochondrial matrix,0.54
NP_003366,GO:0005741,C:mitochondrial outer membrane,0.7
NP_003553,GO:0005743,C:mitochondrial inner membrane,0.88
NP_004095,GO:0005741,C:mitochondrial outer membrane,0.17
NP_004499,GO:0005759,C:mitochondrial matrix,0.31
NP_004532,GO:0005743,C:mitochondrial inner membrane,0.34
NP_004554,GO:0005759,C:mitochondrial matrix,0.31
NP_006108,GO:0005741,C:mitochondrial outer membrane,0.14
NP_006467,GO:0005743,C:mitochondrial inner membrane,0.7
NP_036250,GO:0005759,C:mitochondrial matrix,0.28
NP_036605,GO:0005743,C:mitochondrial inner membrane,0.42
NP_037525,GO:0005759,C:mitochondrial matrix,0.24
NP_055078,GO:0005743,C:mitochondrial inner membrane,0.26
NP_055232,GO:0005758,C:mitochondrial intermembrane space,0.22
NP_055744,GO:0005759,C:mitochondrial matrix,0.35
NP_055873,GO:0005741,C:mitochondrial outer membrane,0.14
NP_056155,GO:0005743,C:mitochondrial inner membrane,0.09
NP_056231,GO:0005741,C:mitochondrial outer membrane,0.66
NP_056651,GO:0005743,C:mitochondrial inner membrane,0.19
NP_057001,GO:0005743,C:mitochondrial inner membrane,0.24
NP_057129,GO:0005758,C:mitochondrial intermembrane space,0.16
NP_057483,GO:0005758,C:mitochondrial intermembrane space,0.85
NP_057665,GO:0005743,C:mitochondrial inner membrane,0.25
NP_060368,GO:0005741,C:mitochondrial outer membrane,0.1
