Header,GeneID,Gene,Prediction,OTHER,SP,mTP,CS Position,CS,Prob
NP_68746,60558,GUF1,mTP,0.016194,0.008194,0.975613,CS pos: 49-50. RLY-SS. Pr: 0.4634,49,0.4634
NP_570972,170712,COX7B2,mTP,0.000621,0.000078,0.9993,CS pos: 25-26. ARH-SH. Pr: 0.7435,25,0.7435
NP_689611,132299,OCIAD2,OTHER,0.999589,0.000084,0.000327,,,
NP_1014446,132299,OCIAD2,OTHER,0.999917,0.00003,0.000053,,,
NP_1273702,132299,OCIAD2,OTHER,0.999589,0.000084,0.000327,,,
NP_1273703,132299,OCIAD2,OTHER,0.607752,0.268399,0.123849,,,
NP_2083,2926,GRSF1,mTP,0.192171,0.050757,0.757071,CS pos: 117-118. RSY-SQ. Pr: 0.5446,117,0.5446
NP_1091947,2926,GRSF1,OTHER,0.999941,0.000035,0.000024,,,
NP_776188,285521,COX18,mTP,0.250676,0.08113,0.668194,CS pos: 19-20. QLW-AR. Pr: 0.1628,19,0.1628
NP_1138450,441024,MTHFD2L,mTP,0.139017,0.001738,0.859245,CS pos: 49-50. VRH-EA. Pr: 0.3812,49,0.3812
NP_789843,27068,PPA2,mTP,0.003636,0.000219,0.996144,CS pos: 32-33. RAM-AL. Pr: 0.4320,32,0.432
NP_789842,27068,PPA2,mTP,0.002279,0.000134,0.997587,CS pos: 32-33. RAM-AL. Pr: 0.4106,32,0.4106
NP_8834,27068,PPA2,mTP,0.001255,0.000057,0.998688,CS pos: 32-33. RAM-AL. Pr: 0.4000,32,0.4
NP_789845,27068,PPA2,mTP,0.001725,0.000159,0.998116,CS pos: 32-33. RAM-AL. Pr: 0.4003,32,0.4003
NP_1171634,3033,HADH,mTP,0.201837,0.000469,0.797694,CS pos: 21-22. SAS-AK. Pr: 0.1788,21,0.1788
NP_5318,3033,HADH,mTP,0.201837,0.000469,0.797694,CS pos: 21-22. SAS-AK. Pr: 0.1788,21,0.1788
NP_60388,55013,MCUB,mTP,0.066234,0.000205,0.933561,CS pos: 51-52. HHY-ST. Pr: 0.4184,51,0.4184
NP_1273641,2180,ACSL1,OTHER,0.99993,0.000062,0.000008,,,
NP_1273637,2180,ACSL1,OTHER,0.945362,0.022087,0.032551,,,
NP_1273640,2180,ACSL1,OTHER,0.950706,0.016558,0.032736,,,
NP_1986,2180,ACSL1,OTHER,0.945362,0.022087,0.032551,,,
NP_9031,521,ATP5ME,mTP,0.447154,0.04735,0.505496,CS pos: 30-31. TRY-NY. Pr: 0.2319,30,0.2319
NP_848652,339983,NAT8L,OTHER,0.999979,0.000005,0.000016,,,
NP_79472,80273,GRPEL1,mTP,0.004592,0.000124,0.995284,CS pos: 27-28. RLL-CT. Pr: 0.5633,27,0.5633
NP_311,5860,QDPR,mTP,0.420607,0.000174,0.579219,CS pos: 36-37. NWW-VA. Pr: 0.3296,36,0.3296
NP_56991,51056,LAP3,mTP,0.046581,0.000137,0.953283,CS pos: 27-28. RSL-ST. Pr: 0.6021,27,0.6021
NP_1138904,389203,SMIM20,SP,0.19506,0.769871,0.035069,CS pos: 20-21. IGA-AF. Pr: 0.6258,20,0.6258
NP_6850,11019,LIAS,OTHER,0.548849,0.012564,0.438587,,,
NP_1265520,11019,LIAS,mTP,0.320383,0.008278,0.671339,CS pos: 28-29. RPL-SS. Pr: 0.4801,28,0.4801
NP_919433,11019,LIAS,OTHER,0.548849,0.012564,0.438587,,,
NP_1265519,11019,LIAS,OTHER,0.548849,0.012564,0.438587,,,
NP_1265521,11019,LIAS,mTP,0.254207,0.001032,0.744761,CS pos: 28-29. RPL-SS. Pr: 0.4902,28,0.4902
NP_60300,54940,OCIAD1,OTHER,0.999978,0.000016,0.000007,,,
NP_1073308,54940,OCIAD1,OTHER,0.999978,0.000016,0.000007,,,
NP_1073309,54940,OCIAD1,OTHER,0.999973,0.000019,0.000008,,,
NP_1073311,54940,OCIAD1,OTHER,0.999973,0.000019,0.000008,,,
NP_1073310,54940,OCIAD1,OTHER,0.999969,0.000022,0.000009,,,
NP_1161726,54940,OCIAD1,OTHER,0.999979,0.000018,0.000003,,,
NP_1072992,10606,PAICS,OTHER,0.999934,0.00005,0.000015,,,
NP_1072993,10606,PAICS,OTHER,0.999942,0.000042,0.000016,,,
NP_6443,10606,PAICS,OTHER,0.999934,0.00005,0.000015,,,
NP_115689,84273,NOA1,mTP,0.2688,0.063918,0.667282,CS pos: 42-43. SSF-QH. Pr: 0.1308,42,0.1308
NP_64621,65008,MRPL1,mTP,0.013789,0,0.986211,CS pos: 43-44. RHF-AA. Pr: 0.5806,43,0.5806
NP_56512,27235,COQ2,OTHER,0.834951,0.000384,0.164665,,,
NP_57151,51023,MRPS18C,mTP,0.034832,0.009727,0.955441,CS pos: 40-41. RGC-SQ. Pr: 0.3772,40,0.3772
NP_932155,53343,NUDT9,OTHER,0.999983,0.000008,0.000009,,,
NP_76952,53343,NUDT9,mTP,0.03471,0.300729,0.664561,CS pos: 51-52. NVM-SG. Pr: 0.1699,51,0.1699
NP_1234940,53343,NUDT9,mTP,0.02258,0.284433,0.692987,CS pos: 51-52. NVM-SG. Pr: 0.1701,51,0.1701
NP_689755,152926,PPM1K,OTHER,0.626256,0.001384,0.37236,,,
NP_116295,100996939,PYURF,mTP,0.000381,0,0.999619,CS pos: 35-36. SRP-LA. Pr: 0.4102,35,0.4102
NP_5381,5161,PDHA2,mTP,0.004753,0.000027,0.99522,CS pos: 27-28. SRN-SS. Pr: 0.5852,27,0.5852
NP_9014,11162,NUDT6,mTP,0.216876,0.001852,0.781272,CS pos: 28-29. YRW-AS. Pr: 0.5777,28,0.5777
NP_932158,11162,NUDT6,OTHER,0.994877,0.001757,0.003366,,,
NP_112581,83447,SLC25A31,OTHER,0.998237,0.000408,0.001355,,,
NP_36250,25819,NOCT,mTP,0.410065,0.000245,0.58969,CS pos: 75-76. RLY-SA. Pr: 0.2684,75,0.2684
NP_1171920,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_1171918,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_1171919,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_1171915,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_1171917,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_116012,84709,MGARP,mTP,0.281276,0.003268,0.715456,CS pos: 33-34. RRM-SS. Pr: 0.3952,33,0.3952
NP_2485,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_1171916,4717,NDUFC1,mTP,0.010388,0.001885,0.987727,CS pos: 28-29. RSK-FY. Pr: 0.3257,28,0.3257
NP_68605,7350,UCP1,OTHER,0.501081,0.49477,0.004149,,,
NP_758454,166785,MMAA,OTHER,0.729365,0.001293,0.269342,,,
NP_4555,5188,GATB,mTP,0.276231,0.000461,0.723308,CS pos: 89-90. VRF-SA. Pr: 0.1799,89,0.1799
NP_1268666,2110,ETFDH,OTHER,0.903646,0.025088,0.071266,,,
NP_4444,2110,ETFDH,mTP,0.047702,0.0019,0.950397,CS pos: 33-34. TRW-SS. Pr: 0.6705,33,0.6705
NP_1268667,2110,ETFDH,OTHER,0.999494,0.000207,0.000299,,,
NP_116172,84869,CBR4,OTHER,0.89705,0.000882,0.102068,,,
NP_872603,51166,AADAT,mTP,0.346433,0.00175,0.651817,CS pos: 22-23. RTM-TD. Pr: 0.1954,22,0.1954
NP_57312,51166,AADAT,mTP,0.346433,0.00175,0.651817,CS pos: 22-23. RTM-TD. Pr: 0.1954,22,0.1954
NP_1273612,51166,AADAT,mTP,0.346433,0.00175,0.651817,CS pos: 22-23. RTM-TD. Pr: 0.1954,22,0.1954
NP_1273611,51166,AADAT,OTHER,0.522928,0.001932,0.47514,,,
NP_4337,836,CASP3,OTHER,0.999978,0.000016,0.000006,,,
NP_116786,836,CASP3,OTHER,0.999978,0.000016,0.000006,,,
NP_1273639,2180,ACSL1,OTHER,0.945362,0.022087,0.032551,,,
NP_1142,291,SLC25A4,OTHER,0.912303,0.041795,0.045902,,,
NP_76996,79072,FASTKD3,OTHER,0.759812,0.000793,0.239396,,,
NP_427,5019,OXCT1,mTP,0.001075,0.000283,0.998641,CS pos: 39-40. HRH-TK. Pr: 0.4841,39,0.4841
NP_36475,23530,NNT,mTP,0.27297,0.041818,0.685212,CS pos: 37-38. TFY-TH. Pr: 0.1439,37,0.1439
NP_892022,23530,NNT,mTP,0.27297,0.041818,0.685212,CS pos: 37-38. TFY-TH. Pr: 0.1439,37,0.1439
NP_2486,4724,NDUFS4,mTP,0.010071,0.000024,0.989905,CS pos: 42-43. WRL-AQ. Pr: 0.7841,42,0.7841
NP_777549,91942,NDUFAF2,OTHER,0.983185,0.000173,0.016642,,,
NP_71415,64087,MCCC2,mTP,0.002159,0.000437,0.997404,CS pos: 23-24. RAY-HG. Pr: 0.4580,23,0.458
NP_55899,23107,MRPS27,mTP,0.070798,0.000167,0.929035,CS pos: 28-29. KRY-LL. Pr: 0.3920,28,0.392
NP_1273677,23107,MRPS27,mTP,0.079622,0.000416,0.919962,CS pos: 28-29. KRY-LL. Pr: 0.3912,28,0.3912
NP_1273680,23107,MRPS27,OTHER,0.998364,0.000749,0.000887,,,
NP_733781,84340,GFM2,mTP,0.231088,0.000768,0.768145,CS pos: 45-46. RNC-SS. Pr: 0.2971,45,0.2971
NP_733792,84340,GFM2,mTP,0.231088,0.000768,0.768145,CS pos: 45-46. RNC-SS. Pr: 0.2971,45,0.2971
NP_115756,84340,GFM2,mTP,0.231088,0.000768,0.768145,CS pos: 45-46. RNC-SS. Pr: 0.2971,45,0.2971
NP_1268231,84340,GFM2,OTHER,0.75858,0.22732,0.0141,,,
NP_56071,23305,ACSL6,SP,0.430762,0.568376,0.000862,CS pos: 21-22. VLS-LL. Pr: 0.8629,21,0.8629
NP_1009185,23305,ACSL6,SP,0.430762,0.568376,0.000862,CS pos: 21-22. VLS-LL. Pr: 0.8629,21,0.8629
NP_1192176,23305,ACSL6,SP,0.238347,0.761205,0.000448,CS pos: 21-22. VLS-LL. Pr: 0.8617,21,0.8617
NP_1192177,23305,ACSL6,OTHER,0.943973,0.013658,0.042369,,,
NP_1192179,23305,ACSL6,OTHER,0.997307,0.00112,0.001572,,,
NP_1192180,23305,ACSL6,OTHER,0.868622,0.00325,0.128128,,,
NP_660308,133957,CCDC127,OTHER,0.998978,0.000573,0.000449,,,
NP_4159,6389,SDHA,mTP,0.009572,0.001193,0.989235,CS pos: 32-33. TRG-FH. Pr: 0.2334,32,0.2334
NP_4544,4726,NDUFS6,mTP,0.010354,0.000015,0.98963,CS pos: 28-29. RCF-GV. Pr: 0.6396,28,0.6396
NP_115868,64979,MRPL36,mTP,0.455118,0.011894,0.532988,CS pos: 36-37. IRG-AA. Pr: 0.4316,36,0.4316
NP_1180384,54888,NSUN2,OTHER,0.999935,0.000002,0.000064,,,
NP_60225,54888,NSUN2,OTHER,0.999915,0.000001,0.000084,,,
NP_1245318,134145,ATPSCKMT,OTHER,0.999815,0.000157,0.000028,,,
NP_954584,134145,ATPSCKMT,OTHER,0.999878,0.000098,0.000024,,,
NP_1245317,134145,ATPSCKMT,OTHER,0.999866,0.000111,0.000023,,,
NP_71413,64083,GOLPH3,OTHER,0.999367,0.000009,0.000624,,,
NP_1161067,23600,AMACR,OTHER,0.896518,0.009614,0.093867,,,
NP_976316,23600,AMACR,OTHER,0.913379,0.010025,0.076596,,,
NP_55139,23600,AMACR,OTHER,0.896518,0.009614,0.093867,,,
NP_114106,64902,AGXT2,mTP,0.084302,0.02144,0.894258,CS pos: 41-42. KLS-LH. Pr: 0.3399,41,0.3399
NP_1078880,133686,NADK2,mTP,0.337538,0.006313,0.656149,CS pos: 37-38. PRL-GG. Pr: 0.1666,37,0.1666
NP_694558,133686,NADK2,OTHER,0.970592,0.000239,0.029169,,,
NP_1274269,133686,NADK2,OTHER,0.970592,0.000239,0.029169,,,
NP_1274270,133686,NADK2,OTHER,0.9661,0.000226,0.033674,,,
NP_57724,10884,MRPS30,mTP,0.165411,0.00035,0.834239,CS pos: 25-26. NAA-AT. Pr: 0.2087,25,0.2087
NP_714917,133383,SETD9,OTHER,0.554965,0.001251,0.443784,,,
NP_1165461,133383,SETD9,OTHER,0.554965,0.001251,0.443784,,,
NP_65777,57486,NLN,mTP,0.007909,0.000008,0.992084,CS pos: 37-38. QAM-SS. Pr: 0.3672,37,0.3672
NP_150597,92259,MRPS36,OTHER,0.876301,0.00018,0.123519,,,
NP_79030,79810,PTCD2,OTHER,0.556575,0.226279,0.217146,,,
NP_1271333,79810,PTCD2,OTHER,0.965496,0.026603,0.007901,,,
NP_1271334,79810,PTCD2,OTHER,0.997955,0.001694,0.000351,,,
NP_1271332,79810,PTCD2,OTHER,0.628691,0.241419,0.12989,,,
NP_37523,29958,DMGDH,mTP,0.015736,0.003428,0.980836,CS pos: 30-31. SVC-GR. Pr: 0.2201,30,0.2201
NP_1161213,345778,MTX3,OTHER,0.999742,0.000115,0.000143,,,
NP_1010891,345778,MTX3,OTHER,0.989198,0.00699,0.003812,,,
NP_1093206,1160,CKMT2,mTP,0.222623,0.048024,0.729352,CS pos: 39-40. VCA-EV. Pr: 0.4309,39,0.4309
NP_1093205,1160,CKMT2,mTP,0.222623,0.048024,0.729352,CS pos: 39-40. VCA-EV. Pr: 0.4309,39,0.4309
NP_1816,1160,CKMT2,mTP,0.222623,0.048024,0.729352,CS pos: 39-40. VCA-EV. Pr: 0.4309,39,0.4309
NP_1858,1350,COX7C,mTP,0.014898,0.000005,0.985096,CS pos: 16-17. VRR-SH. Pr: 0.7348,16,0.7348
NP_620128,91137,SLC25A46,OTHER,0.999448,0.000129,0.000423,,,
NP_405,3295,HSD17B4,OTHER,0.96108,0.009389,0.029531,,,
NP_1186220,3295,HSD17B4,OTHER,0.988929,0.000552,0.010519,,,
NP_1186221,3295,HSD17B4,OTHER,0.997853,0.0011,0.001047,,,
NP_803431,94033,FTMT,mTP,0.031438,0.000004,0.968557,CS pos: 49-50. RPL-AA. Pr: 0.2229,49,0.2229
NP_1173,501,ALDH7A1,mTP,0.026561,0.001179,0.972259,CS pos: 29-30. AFM-ST. Pr: 0.1721,29,0.1721
NP_1188306,501,ALDH7A1,OTHER,0.999305,0.000362,0.000333,,,
NP_1189333,501,ALDH7A1,OTHER,0.640599,0.044983,0.314418,,,
NP_1157950,401207,C5orf63,mTP,0.137748,0.017876,0.844375,CS pos: 23-24. RNC-SA. Pr: 0.2892,23,0.2892
NP_1157951,401207,C5orf63,mTP,0.373765,0.046772,0.579463,CS pos: 23-24. RNC-SA. Pr: 0.2581,23,0.2581
NP_859056,90624,LYRM7,OTHER,0.90204,0.000577,0.097383,,,
NP_5331,3094,HINT1,OTHER,0.999697,0.000084,0.000219,,,
NP_55217,27089,UQCRQ,OTHER,0.891423,0.004946,0.103631,,,
NP_3365,7416,VDAC1,OTHER,0.99981,0.000088,0.000102,,,
NP_115527,84105,PCBD2,mTP,0.008614,0.001469,0.989916,CS pos: 35-36. HRL-TA. Pr: 0.3513,35,0.3513
NP_660325,153328,SLC25A48,OTHER,0.978312,0.016974,0.004714,,,
NP_4125,3313,HSPA9,mTP,0.017703,0.001189,0.981108,CS pos: 46-47. RDY-AS. Pr: 0.8646,46,0.8646
NP_1265661,23438,HARS2,OTHER,0.989883,0.008802,0.001314,,,
NP_2479,4695,NDUFA2,mTP,0.362808,0.001053,0.636139,CS pos: 26-27. CQR-SP. Pr: 0.1942,26,0.1942
NP_1265660,23438,HARS2,mTP,0.023561,0.008391,0.968047,CS pos: 34-35. RCQ-SQ. Pr: 0.5923,34,0.5923
NP_36340,23438,HARS2,mTP,0.018097,0.00985,0.972054,CS pos: 34-35. RCQ-SQ. Pr: 0.5459,34,0.5459
NP_1171941,4695,NDUFA2,OTHER,0.526288,0.002542,0.471169,,,
NP_1136075,9812,DELE1,mTP,0.416614,0.045738,0.537648,CS pos: 26-27. TPK-ST. Pr: 0.2729,26,0.2729
NP_55588,9812,DELE1,mTP,0.416614,0.045738,0.537648,CS pos: 26-27. TPK-ST. Pr: 0.2729,26,0.2729
NP_892005,153768,PRELID2,OTHER,0.999811,0.000087,0.000102,,,
NP_612501,153768,PRELID2,OTHER,0.99994,0.000025,0.000034,,,
NP_995318,153768,PRELID2,OTHER,0.999757,0.000101,0.000142,,,
NP_689620,134266,GRPEL2,mTP,0.050114,0.005709,0.944177,CS pos: 39-40. QRT-AG. Pr: 0.1912,39,0.1912
NP_54899,29093,MRPL22,mTP,0.047598,0.000519,0.951883,CS pos: 32-33. QSY-IH. Pr: 0.3906,32,0.3906
NP_1014990,29093,MRPL22,OTHER,0.94661,0.010096,0.043294,,,
NP_60342,54974,THG1L,OTHER,0.821338,0.00203,0.176632,,,
NP_73591,94081,SFXN1,OTHER,0.999714,0.000187,0.0001,,,
NP_620175,192286,HIGD2A,OTHER,0.999888,0.000022,0.000091,,,
NP_37369,27166,PRELID1,OTHER,0.913769,0.002445,0.083786,,,
NP_1026847,53917,RAB24,OTHER,0.999977,0.000014,0.000009,,,
NP_1258757,27166,PRELID1,OTHER,0.91261,0.002136,0.085254,,,
NP_570137,53917,RAB24,OTHER,0.999977,0.000014,0.000009,,,
NP_1158313,57128,LYRM4,OTHER,0.912362,0.000217,0.087422,,,
NP_4323,670,BPHL,mTP,0.032029,0.288895,0.679076,CS pos: 35-36. AAF-GT. Pr: 0.4451,35,0.4451
NP_1158312,57128,LYRM4,OTHER,0.790006,0.000241,0.209753,,,
NP_65141,57128,LYRM4,OTHER,0.708235,0.00016,0.291605,,,
NP_54643,5071,PRKN,OTHER,0.996049,0.001184,0.002766,,,
NP_4553,5071,PRKN,OTHER,0.997204,0.00107,0.001726,,,
NP_54642,5071,PRKN,OTHER,0.99718,0.000923,0.001897,,,
NP_6558,10667,FARS2,mTP,0.317832,0.003686,0.678482,CS pos: 41-42. AEC-AT. Pr: 0.1332,41,0.1332
NP_1071,7915,ALDH5A1,mTP,0.093577,0.001423,0.905,CS pos: 47-48. RCY-AG. Pr: 0.1641,47,0.1641
NP_733936,7915,ALDH5A1,mTP,0.093577,0.001423,0.905,CS pos: 47-48. RCY-AG. Pr: 0.1641,47,0.1641
NP_1180272,55168,MRPS18A,mTP,0.004798,0.002886,0.992316,CS pos: 34-35. ARG-FR. Pr: 0.5004,34,0.5004
NP_60605,55168,MRPS18A,mTP,0.004731,0.001961,0.993307,CS pos: 34-35. ARG-FR. Pr: 0.4672,34,0.4672
NP_246,4594,MMUT,mTP,0.267628,0.000645,0.731727,CS pos: 18-19. LRQ-VK. Pr: 0.2257,18,0.2257
NP_36255,25821,MTO1,mTP,0.162686,0.001206,0.836109,CS pos: 25-26. ARL-SS. Pr: 0.7826,25,0.7826
NP_1116698,25821,MTO1,mTP,0.162686,0.001206,0.836109,CS pos: 25-26. ARL-SS. Pr: 0.7826,25,0.7826
NP_598400,25821,MTO1,mTP,0.162686,0.001206,0.836109,CS pos: 25-26. ARL-SS. Pr: 0.7826,25,0.7826
NP_47,594,BCKDHB,mTP,0.006151,0.000715,0.993134,CS pos: 35-36. RGF-LH. Pr: 0.3496,35,0.3496
NP_898871,594,BCKDHB,mTP,0.006151,0.000715,0.993134,CS pos: 35-36. RGF-LH. Pr: 0.3496,35,0.3496
NP_36292,26235,FBXL4,OTHER,0.501015,0.468505,0.03048,,,
NP_1265645,26235,FBXL4,OTHER,0.501015,0.468505,0.03048,,,
NP_60762,55278,QRSL1,OTHER,0.892515,0.000327,0.107159,,,
NP_65114,57107,PDSS2,mTP,0.428589,0.010537,0.560874,CS pos: 42-43. GRS-SK. Pr: 0.1427,42,0.1427
NP_660358,246269,AFG1L,mTP,0.026319,0.007153,0.966528,CS pos: 48-49. KAY-TV. Pr: 0.2770,48,0.277
NP_1099015,55862,ECHDC1,OTHER,0.844786,0.135891,0.019324,,,
NP_1099014,55862,ECHDC1,OTHER,0.9928,0.000672,0.006529,,,
NP_60949,55862,ECHDC1,mTP,0.08714,0.00207,0.91079,CS pos: 26-27. SLY-ST. Pr: 0.8185,26,0.8185
NP_1002030,55862,ECHDC1,mTP,0.106047,0.001852,0.892101,CS pos: 26-27. SLY-ST. Pr: 0.8165,26,0.8165
NP_1229696,25902,MTHFD1L,mTP,0.402542,0.000017,0.597441,CS pos: 31-32. CRA-SS. Pr: 0.4555,31,0.4555
NP_56255,25902,MTHFD1L,mTP,0.402542,0.000017,0.597441,CS pos: 31-32. CRA-SS. Pr: 0.4555,31,0.4555
NP_1229697,25902,MTHFD1L,OTHER,0.99976,0.000013,0.000227,,,
NP_57104,51106,TFB1M,OTHER,0.984426,0.000226,0.015348,,,
NP_64518,56895,AGPAT4,OTHER,0.925935,0.073517,0.000547,,,
NP_996667,10455,ECI2,mTP,0.017408,0.000037,0.982554,CS pos: 37-38. AMR-AS. Pr: 0.2523,37,0.2523
NP_1159482,10455,ECI2,OTHER,0.998348,0.000033,0.001619,,,
NP_6108,10455,ECI2,OTHER,0.998348,0.000033,0.001619,,,
NP_57546,51522,TMEM14C,OTHER,0.949948,0.04878,0.001272,,,
NP_1158730,51522,TMEM14C,OTHER,0.949948,0.04878,0.001272,,,
NP_1229756,23408,SIRT5,OTHER,0.99976,0.000174,0.000066,,,
NP_1180196,23408,SIRT5,mTP,0.308406,0.006982,0.684611,CS pos: 36-37. ARP-SS. Pr: 0.2531,36,0.2531
NP_112534,23408,SIRT5,mTP,0.316782,0.005941,0.677277,CS pos: 36-37. ARP-SS. Pr: 0.2527,36,0.2527
NP_36373,23408,SIRT5,mTP,0.316782,0.005941,0.677277,CS pos: 36-37. ARP-SS. Pr: 0.2527,36,0.2527
NP_1026883,63933,MCUR1,OTHER,0.963744,0.030541,0.005715,,,
NP_1273194,57380,MRS2,OTHER,0.664175,0.027199,0.308626,,,
NP_65713,57380,MRS2,OTHER,0.664175,0.027199,0.308626,,,
NP_1273195,57380,MRS2,OTHER,0.685508,0.032341,0.28215,,,
NP_1273193,57380,MRS2,OTHER,0.666511,0.02605,0.307439,,,
NP_1153566,55856,ACOT13,OTHER,0.909803,0.082453,0.007745,,,
NP_60943,55856,ACOT13,OTHER,0.988794,0.001013,0.010192,,,
NP_54765,28973,MRPS18B,mTP,0.067647,0.001902,0.930451,CS pos: 32-33. QTL-CT. Pr: 0.2722,32,0.2722
NP_1154848,221545,C6orf136,OTHER,0.997396,0.000087,0.002517,,,
NP_659466,221545,C6orf136,OTHER,0.83279,0.000607,0.166603,,,
NP_1103408,221545,C6orf136,OTHER,0.900606,0.00616,0.093235,,,
NP_65175,57176,VARS2,mTP,0.313374,0.000059,0.686566,CS pos: 25-26. PRF-HS. Pr: 0.2212,25,0.2212
NP_1161206,57176,VARS2,OTHER,0.768351,0.000192,0.231457,,,
NP_1161205,57176,VARS2,OTHER,0.996725,0.001278,0.001998,,,
NP_1011700,401250,MCCD1,mTP,0.174489,0.371224,0.454286,CS pos: 32-33. GCC-SQ. Pr: 0.2530,32,0.253
NP_55049,7923,HSD17B8,OTHER,0.496781,0.033589,0.469631,,,
NP_1179,578,BAK1,OTHER,0.999983,0.000015,0.000002,,,
NP_115716,84300,UQCC2,OTHER,0.690234,0.000038,0.309729,,,
NP_1258570,23787,MTCH1,OTHER,0.99982,0.000034,0.000146,,,
NP_55156,23787,MTCH1,OTHER,0.99982,0.000034,0.000146,,,
NP_5934,4337,MOCS1,OTHER,0.938379,0.000071,0.061549,,,
NP_1068566,4337,MOCS1,mTP,0.143183,0.000305,0.856511,CS pos: 21-22. RSC-SS. Pr: 0.3714,21,0.3714
NP_1127965,100188893,TOMM6,OTHER,0.979378,0.018064,0.002559,,,
NP_60611,55173,MRPS10,mTP,0.171332,0.000162,0.828507,CS pos: 47-48. VQF-SN. Pr: 0.3758,47,0.3758
NP_57034,51069,MRPL2,mTP,0.033869,0.00059,0.965541,CS pos: 72-73. TKY-TI. Pr: 0.1901,72,0.1901
NP_115487,64928,MRPL14,mTP,0.015515,0.05272,0.931764,CS pos: 23-24. HCF-ST. Pr: 0.4692,23,0.4692
NP_65796,57505,AARS2,mTP,0.02559,0.000019,0.974391,CS pos: 30-31. RPL-SS. Pr: 0.4982,30,0.4982
NP_1190981,9481,SLC25A27,OTHER,0.979285,0.015399,0.005317,,,
NP_4268,9481,SLC25A27,OTHER,0.979285,0.015399,0.005317,,,
NP_1190980,9481,SLC25A27,OTHER,0.979285,0.015399,0.005317,,,
NP_660310,135154,SDHAF4,mTP,0.018032,0.107687,0.874281,CS pos: 32-33. LRK-TS. Pr: 0.3088,32,0.3088
NP_1856,1347,COX7A2,OTHER,0.731966,0.04459,0.223444,,,
NP_699193,167681,PRSS35,SP,0.03886,0.961123,0.000018,CS pos: 20-21. IDG-SE. Pr: 0.7382,20,0.7382
NP_1163894,167681,PRSS35,SP,0.03886,0.961123,0.000018,CS pos: 20-21. IDG-SE. Pr: 0.7382,20,0.7382
NP_1274374,57150,SMIM8,OTHER,0.99692,0.002496,0.000584,,,
NP_65158,57150,SMIM8,OTHER,0.999839,0.000023,0.000138,,,
NP_1035958,57150,SMIM8,OTHER,0.999839,0.000023,0.000138,,,
NP_64716,57038,RARS2,OTHER,0.539522,0.000985,0.459493,,,
NP_65199,57226,LYRM2,OTHER,0.761966,0.000653,0.237381,,,
NP_54884,29078,NDUFAF4,OTHER,0.933069,0.000149,0.066781,,,
NP_59117,51805,COQ3,mTP,0.030904,0.001673,0.967423,CS pos: 85-86. RLY-ST. Pr: 0.7489,85,0.7489
NP_1182060,100130890,TSTD3,OTHER,0.995771,0.000174,0.004055,,,
NP_116119,84816,RTN4IP1,mTP,0.084662,0.000208,0.91513,CS pos: 33-34. RRI-ST. Pr: 0.2490,33,0.249
NP_1135940,51250,MTRES1,mTP,0.320769,0.000251,0.678981,CS pos: 45-46. LYF-SS. Pr: 0.2205,45,0.2205
NP_1135942,51250,MTRES1,mTP,0.310933,0.003975,0.685092,CS pos: 50-51. LYF-SS. Pr: 0.2120,50,0.212
NP_57571,51250,MTRES1,mTP,0.320769,0.000251,0.678981,CS pos: 45-46. LYF-SS. Pr: 0.2205,45,0.2205
NP_612638,135114,HINT3,OTHER,0.999589,0.000192,0.000218,,,
NP_1132982,55862,ECHDC1,mTP,0.476843,0.001672,0.521485,CS pos: 32-33. SLY-ST. Pr: 0.8300,32,0.83
NP_1092756,113115,MTFR2,OTHER,0.999665,0.0002,0.000135,,,
NP_612428,113115,MTFR2,OTHER,0.999665,0.0002,0.000135,,,
NP_1229698,25902,MTHFD1L,mTP,0.402542,0.000017,0.597441,CS pos: 31-32. CRA-SS. Pr: 0.4555,31,0.4555
NP_60379,55005,RMND1,mTP,0.488716,0.000159,0.511124,CS pos: 127-128. RHF-SS. Pr: 0.3345,127,0.3345
NP_1258866,55005,RMND1,OTHER,0.999895,0.000065,0.000039,,,
NP_61914,54516,MTRF1L,mTP,0.101,0.000635,0.898365,CS pos: 26-27. RPL-SS. Pr: 0.6019,26,0.6019
NP_1107656,54516,MTRF1L,mTP,0.101,0.000635,0.898365,CS pos: 26-27. RPL-SS. Pr: 0.6019,26,0.6019
NP_116250,84947,SERAC1,OTHER,0.761351,0.00585,0.232799,,,
NP_1019637,6648,SOD2,mTP,0.034945,0.002089,0.962966,CS pos: 24-25. SRQ-KH. Pr: 0.3590,24,0.359
